Subject,Unit,Lesson,Title,Language,EN URL,FIL URL
Geometry,Unit 1 — Foundations of Geometry,Lesson 2,Naming and Writing Angle Notations,EN + FIL,https://www.youtube.com/watch?v=xcypiS76cIk,https://www.youtube.com/watch?v=ja5uGrFad7U
Geometry,Unit 1 — Foundations of Geometry,Lesson 3,Classifying and Naming Polygons,EN + FIL,https://www.youtube.com/watch?v=X3nLe3uzWF8,https://www.youtube.com/watch?v=GLw1J4MIqeM
Geometry,Unit 1 — Foundations of Geometry,Lesson 4,Measuring Interior Angles of Polygons Using Diagonals,EN + FIL,https://www.youtube.com/watch?v=c6ZwRQdHd7Y,https://www.youtube.com/watch?v=nJ5HDek5W40
Geometry,Unit 7 — Circles,Lesson 2,Theorems on Chords and Arcs in Congruent Circles,EN + FIL,https://www.youtube.com/watch?v=CcVppxRh-bc,https://www.youtube.com/watch?v=DdYpgDQ7x78
Statistics,Unit 6 — Random Variables & Distributions,Lesson 1,Probability of Discrete Random Variables,EN + FIL,https://www.youtube.com/watch?v=kbgtCljxcxA,https://www.youtube.com/watch?v=Rfo8xvyjhhU
Statistics,Unit 6 — Random Variables & Distributions,Lesson 2,Mean & Standard Deviation of Discrete Random Variables,EN + FIL,https://www.youtube.com/watch?v=uzYEcIDTKQM,https://www.youtube.com/watch?v=MeC40ACXHx4
Statistics,Unit 6 — Random Variables & Distributions,Lesson 3,Binomial Probability,EN + FIL,https://www.youtube.com/watch?v=RbPVH2SRwFo,https://www.youtube.com/watch?v=a7ZkBcvczBs
Statistics,Unit 6 — Random Variables & Distributions,Lesson 4,Mean & Standard Deviation of Binomial Distribution,EN + FIL,https://www.youtube.com/watch?v=DK5SraaptvM,https://www.youtube.com/watch?v=87Ih1hTdxJc
Statistics,Unit 6 — Random Variables & Distributions,Lesson 5,Geometric Distribution,EN + FIL,https://www.youtube.com/watch?v=SD7NOs77NXw,https://www.youtube.com/watch?v=VFrfBEzO6kM
Statistics,Unit 6 — Random Variables & Distributions,Lesson 6,Uniform Distribution — Continuous Random Variables,EN + FIL,https://www.youtube.com/watch?v=totfWFcb8M8,https://www.youtube.com/watch?v=Vih3Kn0x8mU
Statistics,Unit 6 — Random Variables & Distributions,Lesson 7,Sampling Distributions,EN + FIL,https://www.youtube.com/watch?v=Z66GkDW9l1A,https://www.youtube.com/watch?v=Ly8oz-aL3IU
Statistics,Unit 7 — Confidence Intervals,Lesson 1,Introduction to Confidence Intervals,EN + FIL,https://www.youtube.com/watch?v=u6fUod_UZgY,https://www.youtube.com/watch?v=MGTeT-ZAL_I
Statistics,Unit 7 — Confidence Intervals,Lesson 2,Computing CI for Population Mean (Z-interval),EN + FIL,https://www.youtube.com/watch?v=RnN-Ze4EyHU,https://www.youtube.com/watch?v=8GuQ56pcKZs
Statistics,Unit 7 — Confidence Intervals,Lesson 3,CI for Population Mean — t-Distribution,EN + FIL,https://www.youtube.com/watch?v=adnUfMk5pqg,https://www.youtube.com/watch?v=Or2-wCpX4jI
Statistics,Unit 7 — Confidence Intervals,Lesson 4,Solving Problems — CI for Population Mean,EN + FIL,https://www.youtube.com/watch?v=bCe8b_vGQ7A,https://www.youtube.com/watch?v=eq_SmOHzzqA
Statistics,Unit 7 — Confidence Intervals,Lesson 5,Determining Sample Size for CI,EN + FIL,https://www.youtube.com/watch?v=u7t_0mWlRZE,https://www.youtube.com/watch?v=XO9NtHvRQTQ
Statistics,Unit 7 — Confidence Intervals,Lesson 6,Confidence Interval for Population Proportion,EN + FIL,https://www.youtube.com/watch?v=kUV12zT5RUc,https://www.youtube.com/watch?v=84vkAH8-Bgg
Statistics,Unit 7 — Confidence Intervals,Lesson 7,Solving Problems — CI for Proportion,EN + FIL,https://www.youtube.com/watch?v=lgqPlZiRXOI,https://www.youtube.com/watch?v=z3IrVrNzH1c
Statistics,Unit 7 — Confidence Intervals,Lesson 8,Matched Pairs — Confidence Interval,EN + FIL,https://www.youtube.com/watch?v=e4iw35_vUMw,https://www.youtube.com/watch?v=WSM6xzlbnPI
Statistics,Unit 8 — Hypothesis Testing,Lesson 1,Introduction to Hypothesis Testing,EN + FIL,https://www.youtube.com/watch?v=qMpRIpouNkE,https://www.youtube.com/watch?v=plAiYXYaqY0
Statistics,Unit 8 — Hypothesis Testing,Lesson 3,Hypothesis Testing — One Sample Mean (Z-Test),EN + FIL,https://www.youtube.com/watch?v=_-ltcU7RbOU,https://www.youtube.com/watch?v=zfeY94knNNs
Statistics,Unit 8 — Hypothesis Testing,Lesson 4,Hypothesis Testing — One Sample Proportion,EN + FIL,https://www.youtube.com/watch?v=qdM16bfNSyE,https://www.youtube.com/watch?v=nAwz1Z2sxRw
Statistics,Unit 8 — Hypothesis Testing,Lesson 5,Hypothesis Testing — Two Sample Means,EN + FIL,https://www.youtube.com/watch?v=jxadMxJj8sk,https://www.youtube.com/watch?v=7k9fvQsO0BM
Statistics,Unit 8 — Hypothesis Testing,Lesson 6,Hypothesis Testing — Two Sample Proportions,EN + FIL,https://www.youtube.com/watch?v=wqihbWAml3Q,https://www.youtube.com/watch?v=LPmfL0BfgmE
Statistics,Unit 8 — Hypothesis Testing,Lesson 7,Hypothesis Testing — Matched Pairs,EN + FIL,https://www.youtube.com/watch?v=i8lFGYoFmsM,https://www.youtube.com/watch?v=iMZCtt4D6Vk
Statistics,Unit 8 — Hypothesis Testing,Lesson 8,Chi-Square Goodness of Fit,EN + FIL,https://www.youtube.com/watch?v=gKY8TqndNo4,https://www.youtube.com/watch?v=TZYd6JWBtUA
Statistics,Unit 9 — AP Statistics Exam Prep — FRQ Practice,Lesson 1,2003 Q1 Form B — Linear Regression Problem,EN + FIL,https://www.youtube.com/watch?v=byztwWgOrMQ,https://www.youtube.com/watch?v=yP3wIjfrxaY
Statistics,Unit 9 — AP Statistics Exam Prep — FRQ Practice,Lesson 2,2003 Q2 Form B — Probability Problem,EN + FIL,https://www.youtube.com/watch?v=z0yMDPJNPK8,https://www.youtube.com/watch?v=2lGEECua_8U
Statistics,Unit 9 — AP Statistics Exam Prep — FRQ Practice,Lesson 3,2003 Q3 Form B — Hypothesis Testing Problem,EN + FIL,https://www.youtube.com/watch?v=3h1rsiVXv-8,https://www.youtube.com/watch?v=plAiYXYaqY0
Statistics,Unit 9 — AP Statistics Exam Prep — FRQ Practice,Lesson 4,2003 Q4 Form B — Designing an Experiment,EN + FIL,https://www.youtube.com/watch?v=ruENYw_vzec,https://www.youtube.com/watch?v=_00ZzgjIE8E
Statistics,Unit 9 — AP Statistics Exam Prep — FRQ Practice,Lesson 5,2003 Q5 Form B — Chi-Square GOF Problem,EN + FIL,https://www.youtube.com/watch?v=46db-otzMQM,https://www.youtube.com/watch?v=TZYd6JWBtUA
Statistics,Unit 9 — AP Statistics Exam Prep — FRQ Practice,Lesson 6,2004 Q1 — Hypothesis Testing Problem,EN + FIL,https://www.youtube.com/watch?v=VxQ-kSvqH6M,https://www.youtube.com/watch?v=zfeY94knNNs
