playlist,language,channel,#,title,duration,url
Paano Magturo Videos,Filipino,Numberbender,13,PAANO MAGSAGOT NG MGA PROBLEMS INVOLVING SEQUENCES AND SERIES | MATH TEACHING TIPS,7:14,https://www.youtube.com/watch?v=b1ILM1QdT5U
Paano Magturo Videos,Filipino,Numberbender,14,PAANO GAMITIN ANG TWO-WAY TABLE SA PAGSAGOT NG MGA PROBABILITY QUESTIONS | MATH TEACHING TIPS,7:54,https://www.youtube.com/watch?v=MjYU22yHs7g
Paano Magturo Videos,Filipino,Numberbender,15,PAANO GUMAMIT NG TECHNOLOGY AT CALCULUS TO ANALYZE QUADRATICS OR PARABOLA | MATH TEACHING TIPS,9:19,https://www.youtube.com/watch?v=DRoN22VTp2E
Paano Magturo Videos,Filipino,Numberbender,16,PAANO MAG-SAGOT NG MGA ALGEBRAIC EQUATIONS USING TECHNOLOGY  | MATH TEACHING TIPS,9:07,https://www.youtube.com/watch?v=L9vBbJY-GQ8
Paano Magturo Videos,Filipino,Numberbender,17,PAANO MO MACHECHECK KUNG TAMA ANG SAGOT MO SA DERIVATIVE RULES NG CALCULUS | MATH TEACHING TIPS,11:23,https://www.youtube.com/watch?v=QsNCLLC32fc
Paano Magturo Videos,Filipino,Numberbender,18,WEB APP NA PUWEDENG GAMITIN SA PAG-SOLVE NG MATRIX OPERATIONS  | MATH TEACHING TIPS,10:34,https://www.youtube.com/watch?v=gURNcWqe6zg
Paano Magturo Videos,Filipino,Numberbender,19,PAANO GUMAMIT NG DESMOS SA PAG-GAWA NG LINEAR REGRESSION ANALYSIS | MATH TEACHING TIPS,12:29,https://www.youtube.com/watch?v=7AIC1XcT2-k
Paano Magturo Videos,Filipino,Numberbender,20,PAANO MAG-SAGOT NG NORMAL PROBABILITY GAMIT ANG FREE WEB APP | MATH TEACHING TIPS,11:03,https://www.youtube.com/watch?v=Sx58shTEClE
Paano Magturo Videos,Filipino,Numberbender,21,PAANO MAGCOMPUTE NG ONE-VARIABLE STATISTICS GAMIT ANG WEB APPLICATION,9:43,https://www.youtube.com/watch?v=Fu0qvXMkq8s
Paano Magturo Videos,Filipino,Numberbender,22,PAG-GAMIT NG DESMOS SA PAG-SOLVE NG MGA FACTORABLE EQUATIONS  | MATH TEACHING TIPS,12:36,https://www.youtube.com/watch?v=UXHAaGi-mTg
Paano Magturo Videos,Filipino,Numberbender,23,PAANO MAG-ANALYZE NG RATIONAL FUNCTIONS GAMIT ANG TECHNOLOGY | MATH TEACHING TIPS,13:34,https://www.youtube.com/watch?v=smgOj1HX6_s
How To Teach Videos,English,Numberbender English Only,1,ANALYZING RATIONAL FUNCTION USING TECHNOLOGY | MATH TEACHING TIPS,11:28,https://www.youtube.com/watch?v=vp3FG6NAtjg
How To Teach Videos,English,Numberbender English Only,2,HOW TO USE DESMOS TO SOLVE EQUATION BY FACTORING | MATH TEACHING TIPS,11:53,https://www.youtube.com/watch?v=tiXlSAndRPk
How To Teach Videos,English,Numberbender English Only,3,CALCULATING ONE-VARIABLE STATISTICS USING AN APP | MATH TEACHING TIPS,9:38,https://www.youtube.com/watch?v=5YoFs4GEkNE
How To Teach Videos,English,Numberbender English Only,4,FREE APP YOU CAN USE TO SOLVE FOR PROBLEMS INVOLVING NORMAL PROBABILITY | MATH TEACHING TIPS,10:34,https://www.youtube.com/watch?v=aAWuy3Yxt3w
How To Teach Videos,English,Numberbender English Only,5,HOW TO USE DESMOS IN PRODUCING THE LEAST-SQUARES REGRESSION LINE | MATH TEACHING TIPS,11:46,https://www.youtube.com/watch?v=Brpyw-uNXBs
How To Teach Videos,English,Numberbender English Only,6,WEB APPLICATION TO USE IN SOLVING LINEAR SYSTEMS IN MATRIX FORM | MATH TEACHING TIPS,8:40,https://www.youtube.com/watch?v=4K2CneBAiqI
How To Teach Videos,English,Numberbender English Only,7,HOW TO VERIFY IF YOU ARE USING THE DERIVATIVE RULES CORRECTLY USING DESMOS | MATH TEACHING TIPS,9:07,https://www.youtube.com/watch?v=ze6DyBtJjzo
How To Teach Videos,English,Numberbender English Only,8,HOW TO USE DESMOS IN SOLVING ALGEBRAIC EQUATIONS | MATH TEACHING TIPS,8:06,https://www.youtube.com/watch?v=hQzzWjSkRKE
How To Teach Videos,English,Numberbender English Only,9,HOW TO ANALYZE A PARABOLA ANALYTICALLY AND GRAPHICALLY | MATH TEACHING TIPS,7:58,https://www.youtube.com/watch?v=5R0eIkA9pSI
How To Teach Videos,English,Numberbender English Only,10,HOW TO USE THE TWO-WAY TABLE IN ANSWERING PROBABILITY QUESTIONS | MATH TEACHING TIPS,6:28,https://www.youtube.com/watch?v=i4my_Jv3vtc
How To Teach Videos,English,Numberbender English Only,11,HOW DO YOU WORK WITH PROBLEMS INVOLVING SEQUENCES AND SERIES? | MATH TEACHING TIPS,7:02,https://www.youtube.com/watch?v=aOYzVd5Dm2w
How To Teach Videos,English,Numberbender English Only,12,HOW DO YOU SEE THE IMAGINARY NUMBERS? | MATH TEACHING TIPS,9:10,https://www.youtube.com/watch?v=0MNpsUug8d0
How To Teach Videos,English,Numberbender English Only,13,WHY WE ARE SOLVING THE LIMITS GRAPHICALLY AND ANALYTICALLY IN CALCULUS | MATH TEACHING TIPS,9:40,https://www.youtube.com/watch?v=V6ZCqn4rLuc
How To Teach Videos,English,Numberbender English Only,14,HOW TO USE REIMANN SUMS TO INTRODUCE INTEGRATION IN CALCULUS | MATH TEACHING TIPS,10:25,https://www.youtube.com/watch?v=acZiCnAlCBA
How To Teach Videos,English,Numberbender English Only,15,HOW TO SOLVE LINEAR SYSTEMS WITH 3 VARIABLES USING LINEAR ALGEBRA | MATH TEACHING TIPS,9:27,https://www.youtube.com/watch?v=iJ1agtA6eEM
How To Teach Videos,English,Numberbender English Only,16,HOW COMPLETING THE SQUARES HELPS IN LEARNING CONIC SECTIONS | MATH TEACHING TIPS,9:51,https://www.youtube.com/watch?v=V40cad0EONM
How To Teach Videos,English,Numberbender English Only,17,HOW TO USE FACTORING TECHNIQUES IN TRIGONOMETRIC IDENTITIES | MATH TEACHING TIPS,7:39,https://www.youtube.com/watch?v=3Hb4uo4Gaow
How To Teach Videos,English,Numberbender English Only,18,HOW TO USE VISUALS IN LEARNING OPERATIONS ON INTEGERS | MATH TEACHING TIPS,5:24,https://www.youtube.com/watch?v=lxeCpiTPWfI
How To Teach Videos,English,Numberbender English Only,19,HOW TO USE THE LAW OF EXPONENTS IN CALCULUS | MATH TEACHING TIPS,7:32,https://www.youtube.com/watch?v=3CzwzCZrC7k
How To Teach Videos,English,Numberbender English Only,20,HOW TO LEARN OPERATIONS INVOLVING RATIONAL EXPRESSIONS | MATH TEACHING TIPS,7:12,https://www.youtube.com/watch?v=hMAv8yyeQH8
How To Teach Videos,English,Numberbender English Only,21,HOW TO TEACH/LEARN DERIVATIVES IN CALCULUS,8:12,https://www.youtube.com/watch?v=NI-diWtaEfw
How To Teach Videos,English,Numberbender English Only,22,HOW MY STANDING DESK INCREASED MY PRODUCTIVITY AND CREATIVITY WHILE WORKING REMOTELY,4:46,https://www.youtube.com/watch?v=r_uIV2zlrhw
How To Teach Videos,English,Numberbender English Only,23,HOW TO TEACH SOLVING ALGEBRAIC EQUATIONS,17:03,https://www.youtube.com/watch?v=0ycdog3Nxo8
